Row Labels,Sum of revenue,,
Feb,67864,,
Jan,72970,,
Mar,88143,,
Apr,106173,,
May,139748,,
Jun,148688,,
Grand Total,623586,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Row Labels,Sum of revenue,,
Bakery,5460,,
Branded,13607,,
Coffee beans,27659,,
Coffee,87569,,
Tea,93545,,
null,395746,,
Grand Total,623586,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Row Labels,Sum of revenue,,
afternoon,113707,,
Astoria,42219,,
Hell's Kitchen,37187,,
Lower Manhattan,34301,,
evening,28170,,
Astoria,15326,,
Hell's Kitchen,11919,,
Lower Manhattan,925,,
late afternoon,177249,,
Astoria,70591,,
Hell's Kitchen,53802,,
Lower Manhattan,52856,,
morning,304460,,
Astoria,79695,,
Hell's Kitchen,108587,,
Lower Manhattan,116178,,
Grand Total,623586,,
,,,
Row Labels,Sum of revenue,Count of day_type,Count of day_number
(blank),,,
Sat,86426,20510,20510
Sun,87706,21096,21096
Tue,88732,21202,21202
Wed,89599,21310,21310
Thu,89896,21654,21654
Fri,90502,21701,21701
Mon,90725,21643,21643
Grand Total,623586,149116,149116
,,,
Row Labels,Sum of revenue,,
Sat,86426,,
cheap spend,85346,,
early month,27910,,
midmonth,30950,,
month end,26486,,
expensive spend,1080,,
midmonth,1080,,
Sun,87706,,
cheap spend,87634,,
early month,24562,,
midmonth,32645,,
month end,30427,,
low spend,72,,
early month,72,,
Tue,88732,,
cheap spend,88012,,
early month,25192,,
midmonth,30172,,
month end,32648,,
expensive spend,720,,
midmonth,720,,
Wed,89599,,
cheap spend,88879,,
early month,28915,,
midmonth,27126,,
month end,32838,,
expensive spend,720,,
midmonth,720,,
Thu,89896,,
cheap spend,89824,,
early month,29712,,
midmonth,31908,,
month end,28204,,
low spend,72,,
early month,72,,
Fri,90502,,
cheap spend,90014,,
early month,29986,,
midmonth,28106,,
month end,31922,,
expensive spend,360,,
month end,360,,
low spend,128,,
early month,128,,
Mon,90725,,
cheap spend,89949,,
early month,29499,,
midmonth,32134,,
month end,28316,,
expensive spend,720,,
midmonth,720,,
low spend,56,,
month end,56,,
Grand Total,623586,,
